"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.93156255395978,0.394278555289046,1.23758857487014,1.33189597855952,1.65307255189173,1.90480254752437,2.18090977457913,2.62252951722712,2.77753004351657
"2",3,9,1.6165664582418,0.32331329164836,1.04615657655065,1.1239744643485,1.38837464671437,1.59506407887256,1.82134032377929,2.18252012076179,2.3091098396241
"3",4,10,1.926299240655,0.330357594333422,1.33401822193156,1.41696966669299,1.69440111292234,1.9074472238367,2.13766065912078,2.4999444810814,2.62567443240917
"4",5,11,1.80056361066544,0.284694104085971,1.28634904160301,1.35923372976203,1.6012526654984,1.7855813464127,1.98355168888342,2.29300591869876,2.39989398643765
"5",6,12,1.58038681203523,0.241006729407876,1.14373377208806,1.2059321314196,1.41185360919059,1.56815277856919,1.73559073194295,1.99657787454357,2.08654423453592
"6",7,13,1.56776341448559,0.22396620206937,1.15984000469655,1.21843681707269,1.41145827058309,1.5571113515412,1.71246208139311,1.95342896884684,2.03620588135291
"7",8,14,1.64472093468726,0.214124427354297,1.25203777982868,1.30906248618557,1.49568388693323,1.63543811689401,1.78364259859652,2.01204666455049,2.09014620246603
"8",9,15,1.48867502906365,0.18755542428068,1.14393876698882,1.19417955463745,1.35824857906145,1.48080589350262,1.61052634917729,1.81001501841151,1.87812191289509
"9",10,16,1.71767133919233,0.189685067282034,1.36611499042642,1.4180215691977,1.58621253119599,1.71069400386539,1.84152616149206,2.04112291195336,2.10887316897657
"10",11,17,1.75098188268389,0.174229209265438,1.42620350103572,1.47458930615125,1.63053046599095,1.74520646743476,1.86513883786768,2.04707591447467,2.10857735029177
"11",12,18,1.92824273488326,0.165345450421901,1.61780222323316,1.66456943031947,1.81429361551241,1.92351871457672,2.03704296707042,2.20803069803253,2.2655269626717
"12",13,19,2.14576782854649,0.154057151900442,1.85443002025421,1.89880851181457,2.03994653264522,2.14208207056012,2.24757166914465,2.40529992237418,2.45805012849095
"13",14,20,1.72869581673878,0.118727316141489,1.5038114414674,1.538151221741,1.6472032049541,1.7259785026336,1.80722654087257,1.92850963318301,1.96902154189383
"14",15,21,1.57820573965019,0.103170536704365,1.38245703417723,1.41242523418942,1.50744739307957,1.57595815354817,1.64651417902148,1.7516531266565,1.78672660074566
"15",16,22,1.4670992153525,0.0926024813519679,1.29119961566989,1.31817631800424,1.40362342266094,1.46515133707892,1.5284517729505,1.62266663214712,1.65406788853382
"16",17,23,1.30447402192382,0.0825021811559938,1.14777014382084,1.17180055143914,1.24791990786189,1.3027351361084,1.35913270851217,1.44307910616872,1.47105934450327
"17",18,24,1.41221192314158,0.0830712895965635,1.25407173641229,1.27840575027246,1.35532887231309,1.41058340874238,1.46731983133525,1.55157319990513,1.57960641776701
"18",19,25,1.25509804070123,0.0743455915887012,1.11359825397097,1.13536477558676,1.20418480124522,1.25363039539451,1.30441149278938,1.37983766266304,1.40493796442831
"19",20,26,1.15947123590934,0.0694157271722849,1.02739683718865,1.04770351187518,1.11192671829477,1.15808626023039,1.20550608178552,1.27596332022085,1.29941598027767
"20",21,27,1.24610758327351,0.071003569260288,1.11081386091214,1.13166202201795,1.19750980156504,1.24475924177171,1.29323561404197,1.36515253206644,1.38906350448796
