"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.00697164116806,0.460430871915975,1.20832803228244,1.31424448470769,1.68028764179249,1.97187354835688,2.29544249359668,2.81945400356427,3.00493937429874
"2",3,9,1.58101198042306,0.362709023746907,0.951872490937499,1.03530923551988,1.32366339301368,1.55336310682354,1.80825777918636,2.22105308637673,2.36717104206131
"3",4,10,2.28496512116772,0.410391850707974,1.55252294063339,1.65435247044496,1.99642994500987,2.2604431251867,2.54678874389021,2.99923840696539,3.15670624761549
"4",5,11,1.8164865064476,0.311524865786223,1.25796971122199,1.3361923346438,1.59780821856455,1.79870918844475,2.01579882331077,2.35742989506054,2.47599234643001
"5",6,12,1.60864680320257,0.264459905378503,1.13263580438595,1.19972946150272,1.42326745164131,1.59417793012626,1.77826338266659,2.06692564055797,2.16685483017203
"6",7,13,1.73476857892712,0.255777672753066,1.27006863035349,1.33655568241211,1.55609222129569,1.72221411514176,1.899766040635,2.17581066864032,2.27079474087131
"7",8,14,1.818362571496,0.238762702908772,1.38075893633609,1.44424643176746,1.65213684066963,1.80792295644997,1.97321244857178,2.22809232927823,2.31528066337858
"8",9,15,1.49470298646857,0.194593754048129,1.13783716690957,1.18966054745792,1.35925987531564,1.48626687114603,1.62095335609122,1.8285242772748,1.89950021617252
"9",10,16,1.41741841294119,0.17857793449363,1.08918322666233,1.13701919898909,1.2932349288641,1.40992593982221,1.53343722255264,1.72337720772426,1.78822411145045
"10",11,17,1.4937077461684,0.174825268187297,1.17082843063809,1.21823935929941,1.37237033584828,1.48689272732529,1.60761833088295,1.79242440630526,1.85530951094162
"11",12,18,1.62650894046133,0.171449096216167,1.30790526313384,1.35514194285475,1.50782151365196,1.62048881587042,1.738635392554,1.91841228987689,1.97931966451185
"12",13,19,1.66687714925368,0.159657874778968,1.36867958568481,1.41324018610857,1.55659290642875,1.66178244621938,1.7716087237547,1.93789341438017,1.99402412121243
"13",14,20,1.57301857349362,0.141834308248708,1.30733222579498,1.3472154215721,1.47517224721509,1.56875771043267,1.66622091064607,1.81335651269249,1.86291655889021
"14",15,21,1.27723387205327,0.118588187901059,1.05540306186754,1.08863091065303,1.1953737000071,1.27356554063149,1.35509591209286,1.47835039039527,1.51990922844118
"15",16,22,1.22769742001183,0.113018708332215,1.01619760467043,1.04789823486592,1.14969596585123,1.2242310952521,1.30192089709994,1.41932106004076,1.45889395646164
"16",17,23,1.17636547047622,0.108293219349243,0.973708793249255,1.00408397050909,1.10162537912653,1.17304407817683,1.24748554788446,1.35997702637151,1.39789531809179
"17",18,24,1.05185782784784,0.100749707582828,0.863684727253407,0.891804025901371,0.982264610281912,1.04864289190034,1.1179471173381,1.22287857768235,1.25829901846923
"18",19,25,0.990189368010522,0.0980433569817245,0.807381094156603,0.834626922791021,0.922415709434664,0.986955341756348,1.05443834484298,1.15678391892875,1.19137406056844
