"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.17687533059093,0.52227508714452,2.23681341257395,2.36931495592644,2.81077440178327,3.14830112409259,3.51184676489564,4.08191845753949,4.27926605221273
"2",3,9,3.05778974539231,0.394758958670274,2.33341571133622,2.43870548110462,2.78308974107015,3.04081890481785,3.31399668797042,3.73476802516432,3.87858721987289
"3",4,10,2.47931903298801,0.277196294783512,1.96594579783131,2.04165811744163,2.28715318513092,2.46899622419587,2.6602350386452,2.95219422957807,3.0513466266294
"4",5,11,1.90391260513686,0.201814332516246,1.52899815972649,1.58455654414824,1.76418602648551,1.89678661371581,2.03587301381048,2.24757745896081,2.31931769650619
"5",6,12,1.95017947758424,0.18265104287432,1.60865758385565,1.65978028462843,1.82407393224042,1.94448017205768,2.07007334479488,2.26002038176221,2.32408645189811
"6",7,13,1.95223214129239,0.162124054959521,1.64741265188764,1.69343251158272,1.84057349470068,1.94774609006449,2.05900121924363,2.22633462918654,2.28254326208551
"7",8,14,1.72586261542641,0.134767228577026,1.4718278723414,1.51033223625814,1.63315326367695,1.72235603492131,1.81474989966041,1.95335462389096,1.99982342722953
"8",9,15,1.62687700398773,0.119288409564692,1.40146739092575,1.43576197189689,1.54490840736063,1.62396238451442,1.70566869859442,1.82793433376579,1.86884903153182
"9",10,16,1.3900905107006,0.101926381506401,1.1974885110595,1.22679163075421,1.32005216848573,1.3876001043194,1.45741433833249,1.56188462024066,1.5968443209269
"10",11,17,1.21097906171168,0.0910227601730174,1.03914355037794,1.06524921734273,1.14840575121203,1.20869926361076,1.27106743434107,1.36448572351346,1.39576955066428
"11",12,18,1.1778740868708,0.0882853953756726,1.01118811606994,1.03651568403161,1.1171856121225,1.17566906599501,1.23615912773808,1.32675422681304,1.35709011794088
