"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.08272801154168,0.577644818342975,1.10896494981341,1.23194616191711,1.66966145442362,2.02957503978932,2.43795853604908,3.1148910584427,3.35825233431933
"2",3,9,1.6242377370898,0.450482495740067,0.864838188479318,0.960746403351798,1.30210336030948,1.58278582302315,1.90126806465717,2.42918113935636,2.61896903572818
"3",4,10,1.43461193531812,0.39788976101401,0.763870435330698,0.848581599595138,1.15008596282512,1.39799943130849,1.67929964654279,2.14558015491894,2.31321077640774
"4",5,11,1.33565204295182,0.370443225157001,0.71117846044805,0.790046227281132,1.07075274365185,1.30156507868353,1.56346113427236,1.99757749582564,2.15364491485429
"5",6,12,1.46738014341796,0.378875923867548,0.821281527171517,0.904525450795955,1.19726518152765,1.43490367114109,1.70214837228817,2.14105298918293,2.29788024070618
"6",7,13,1.86013609069234,0.405914973262708,1.15145355801596,1.24647052873835,1.57269678998452,1.83069489356936,2.11551730180663,2.57425286254628,2.73602792950994
"7",8,14,1.34905110423567,0.309493549107119,0.81221689075827,0.883412070685102,1.12945985488586,1.32545878240499,1.54295614705041,1.89518748487965,2.01986749483897
"8",9,15,1.25840898821048,0.288698821539618,0.757644415765599,0.824056024677886,1.05357197273601,1.23640182350688,1.43928564141602,1.76785071953799,1.88415353763759
"9",10,16,1.34125172591981,0.292685121905604,0.830255958009287,0.898767975280907,1.13399352578024,1.32002314127381,1.52539443025659,1.85616585373553,1.9728138177536
"10",11,17,1.66381742069574,0.314431937298418,1.10559459292636,1.18253676943377,1.44235158720902,1.64405253899284,1.86375536696818,2.21253026832636,2.33431102927135
"11",12,18,1.6454777611551,0.286440911589109,1.1326711774972,1.20432462327558,1.44430560748118,1.62888695160918,1.82857687036562,2.1432324762773,2.25253200815312
"12",13,19,1.51411125559885,0.252351875933142,1.06046490899298,1.12427666792084,1.33713934552993,1.5001150189698,1.67583557075669,1.95169509444062,2.04726883258317
"13",14,20,1.25884519562173,0.215890169962571,0.871786892767172,0.925996034059416,1.10729872879621,1.24652531805617,1.39697083080859,1.63372493375447,1.71589002100275
"14",15,21,1.27236496747539,0.212060827912565,0.891148780811339,0.944772215861152,1.12364877653087,1.26060340035313,1.40826802759392,1.64008322121459,1.72039744896607
"15",16,22,1.17196352012623,0.198097991084259,0.81631553259567,0.866236377586463,1.03297417098773,1.16082105826902,1.29881442707954,1.51570419488577,1.59091007767702
"16",17,23,1.17344080941252,0.195573468235419,0.821863516674086,0.871317823132385,1.03628704305179,1.16259368362966,1.29877764353139,1.51256960997958,1.58663954653798
"17",18,24,1.17007638802442,0.192359373261126,0.823841758367738,0.87264346165167,1.0352375895652,1.15955220912188,1.29344986830189,1.5034132309245,1.57609841266174
"18",19,25,1.25423136985796,0.195878031309417,0.900058085420372,0.950344731561087,1.11715343612639,1.24404923657746,1.38021591803782,1.59285454031507,1.66625087063286
"19",20,26,1.29270813612224,0.192705551162425,0.942910185000074,0.992886466098861,1.15804622527832,1.28314523266282,1.41695076881964,1.62515345863367,1.69683588312412
"20",21,27,1.25139545175607,0.182534786930903,0.919478308629225,0.967032713019927,1.12392537551822,1.24253158388562,1.36920766695419,1.56599694917115,1.63367156690013
"21",22,28,1.37753517213801,0.185746804718745,1.03774801288882,1.08689563482787,1.24812165277091,1.36919552915867,1.4978613419768,1.69662463839846,1.76470486683472
"22",23,29,1.40380366621136,0.178283243892176,1.07628822134209,1.12397840515811,1.27979806755658,1.39626359090766,1.51959276761897,1.70935093076556,1.77415994760582
"23",24,30,1.54303175030544,0.17699788069095,1.21573351717377,1.26388700912298,1.42024947085253,1.53626936951413,1.65844447288773,1.8452451343826,1.9087536124442
"24",25,31,1.71401732893849,0.17314189662338,1.3915221189335,1.43950846019318,1.59427662454455,1.70819087648423,1.8274079935185,2.00840178546056,2.06961950085908
"25",26,32,1.52179410302519,0.147809709768702,1.24592032158884,1.28709991829715,1.41966267035628,1.51701127154084,1.61871280532633,1.77280374010575,1.82484506892455
"26",27,33,1.60112039787947,0.141520386354585,1.33577639352455,1.37566529233775,1.50353076132485,1.59695274938271,1.69416760727975,1.84079229089138,1.89014645951062
"27",28,34,1.59015533349488,0.130270600778261,1.34508309171345,1.38211581614991,1.50045846785114,1.58659935730403,1.67597634817872,1.81032501706736,1.8554341763485
"28",29,35,1.55967415313535,0.119271263480164,1.33466182233984,1.36881090626002,1.47765610969587,1.55663490849457,1.63837949154019,1.76090484219819,1.80195698134054
"29",30,36,1.3855847814458,0.104442382620052,1.18843694521968,1.21838307371294,1.31378256441194,1.38296145325192,1.45452762131961,1.56173515345698,1.59763970272218
"30",31,37,1.34035231297708,0.0980162685095158,1.15512024850662,1.18330644336301,1.27300393632957,1.33796385177717,1.40509729235549,1.50554565739518,1.53915688636888
"31",32,38,1.3423282414895,0.0942129729674788,1.16401472020589,1.19121099657994,1.27763856952808,1.34012473461377,1.40461609045821,1.50096203198742,1.53316332967377
"32",33,39,1.29366251102218,0.088640294687953,1.12575284011661,1.15139584238761,1.23282352569332,1.29163856426034,1.35229538184601,1.44283320615121,1.47307342089617
"33",34,40,1.26644905204021,0.0846181866167696,1.10601863852802,1.13055210429853,1.20839444075975,1.26456495462006,1.32244997425825,1.40877296870883,1.43758603079045
"34",35,41,1.21423782475692,0.0802390939975502,1.06205284690256,1.08533873949159,1.15919733057494,1.21247083332987,1.26735227238791,1.34916440792732,1.37646391416741
"35",36,42,1.14100727272092,0.0758986747818256,0.997086675009009,1.01910051147999,1.08893863355371,1.13932481312398,1.19124200878645,1.26865318163992,1.29448861409139
"36",37,43,1.18007741833222,0.0761736698072691,1.03549004588269,1.05763988861086,1.12784493830542,1.17843882722418,1.23052380157846,1.30810444558256,1.33397627787921
"37",38,44,1.21135517466687,0.075562259720929,1.06776948907563,1.08980308913838,1.15956916650909,1.20978438937176,1.2614289845588,1.3382654535405,1.36386706402713
"38",39,45,1.15974878246972,0.0719245662118946,1.02305043088335,1.04403303553856,1.11046015507777,1.15826226441719,1.20741706343813,1.28053527287286,1.30489448242215
"39",40,46,1.18093531202077,0.0712130787573484,1.04547104436176,1.06629191624256,1.13215459191752,1.1795041841463,1.22815605480843,1.30046050147491,1.32453218718029
"40",41,47,1.15753238142838,0.0689300502168031,1.02636077839238,1.04653363521941,1.11032418864417,1.15616442773633,1.20324945568809,1.2731974224349,1.29647760370805
"41",42,48,1.17303163690877,0.0680661992383182,1.04340369123305,1.0633626563279,1.12643239677443,1.17171536609097,1.21819608862524,1.28719061009496,1.31013952247189
"42",43,49,1.14534676866694,0.0657984526510562,1.02000089787122,1.03930915819368,1.10030642383693,1.14408700794377,1.18901392120208,1.25568160604689,1.2778514568704
"43",44,50,1.09104927570437,0.0630970087650791,0.970872998741768,0.98937945935857,1.047854077473,1.08983318565431,1.1329188858997,1.19686735289456,1.21813619973547
"44",45,51,0.99001625521613,0.0595919757264862,0.876651796830874,0.894077402566892,0.949197038196732,0.988820840469658,1.02953242971805,1.09003284812509,1.11017384559922
"45",46,52,1.01733427518681,0.0609062099190389,0.901450578781116,0.919267904070325,0.975618132631027,1.01611908054906,1.05772581325377,1.11954585792185,1.14012350933845
"46",47,53,1.05382054633159,0.062096971205398,0.935614631057363,0.953802274302299,1.01129859762096,1.05260109791043,1.09501325025979,1.15799853785677,1.17895618199384
"47",48,54,1.03668103006029,0.0611933463534501,0.920201295187668,0.938121918842484,0.994776805148381,1.03547723597713,1.07727307438422,1.13934646176221,1.16000152586811
"48",49,55,0.971720728842298,0.0590278305385506,0.859461025205574,0.876709421933555,0.931282500515783,0.970525762104981,1.01085640505614,1.07080824919768,1.09077101284024
"49",50,56,1.01238672194085,0.0607189206037813,0.896865689658417,0.914625774284854,0.970797768661197,1.01117308808563,1.05265277244245,1.11428755742851,1.13480442144604
"50",51,57,0.997520861627314,0.0602624391066815,0.882893731009222,0.900510431264736,0.956240188421451,0.996307595403971,1.03747903442927,1.09866992690147,1.11904256575222
"51",52,58,0.996851321866103,0.0603321865970656,0.882097972697423,0.899732559593972,0.955521758885305,0.995634429742789,1.03685443251128,1.0981210878319,1.11851984810874
"52",53,59,0.970895786339693,0.0596416540503132,0.857508161428293,0.874920618082945,0.930030253558682,0.96967480725093,1.01043041534008,1.07103590193906,1.09122180340982
"53",54,60,0.974984090894717,0.060120094560418,0.860700440106687,0.878247319233723,0.933788405660368,0.973748648433302,1.01483310775319,1.07593514731301,1.09628832151678
"54",55,61,0.961938608003509,0.0600040817537589,0.847917041566687,0.865413950001898,0.920815276347241,0.960691245502522,1.00170228094784,1.06271821381532,1.08304848363972
"55",56,62,1.02392814716385,0.0623142826073458,0.905425011141523,0.92363110697809,0.981237300522265,1.02266431616048,1.06524137787698,1.12853630759646,1.14961319397632
"56",57,63,1.04855355891598,0.0627752595467849,0.92911370001197,0.947477791636558,1.00555725887185,1.04730107318611,1.09018460588177,1.15390174333608,1.17511086815697
"57",58,64,1.03440776916845,0.0618176879713949,0.916783445443051,0.934869894484703,0.992068436829244,1.03317659230969,1.07540507543483,1.13814537295069,1.15902845330024
"58",59,65,1.00568031254211,0.0606448046499916,0.890319423888115,0.908050404346862,0.964138824756878,1.00446156913303,1.04589332919237,1.10746753887309,1.12796690082559
"59",60,66,1.03593616610444,0.0615800131703517,0.918745170475196,0.936769421943078,0.9937628830631,1.03471623799539,1.07677968341493,1.1392642673729,1.16005960263847
"60",61,67,1.05488990627961,0.0618387414675519,0.937157346143667,0.955276425271189,1.01254793173221,1.05368180224886,1.09591500074319,1.15862440861968,1.17948772351518
"61",62,68,1.00193413457746,0.0597703794227524,0.888199199880534,0.905689040635092,0.96099807863018,1.00074585158215,1.04157491988213,1.10223263994325,1.12242167949457
"62",63,69,1.0190251917324,0.0603618428730928,0.904140264318809,0.921812695589978,0.97768828264966,1.0178335975369,1.05906321931232,1.12030239324506,1.14068155008337
"63",64,70,0.965992552512488,0.0586798686070461,0.854394606269711,0.871541325782282,0.925792702657733,0.964804629959756,1.00489752864195,1.0644959639034,1.08434104946543
"64",65,71,0.99074435012913,0.0598530550755055,0.876895922091122,0.894392945880274,0.949744111115064,0.98953932605172,1.03043107295159,1.091206274081,1.11144051440123
"65",66,72,1.03197121057308,0.0612362252246122,0.915428265492453,0.933354299019886,0.990034442801979,1.03076022981813,1.07258796516422,1.13471895820462,1.15539575284143
"66",67,73,1.01005248004751,0.0602546793106234,0.895395988274108,0.913027543503264,0.968784732591885,1.0088545687827,1.05001446170501,1.11116367148576,1.13151629623907
"67",68,74,0.957356614142176,0.0585892733034287,0.845956655614886,0.863066935817725,0.917214404535856,0.956161678008345,0.996196306697902,1.05572240268924,1.07554697436303
"68",69,75,1.03567421121196,0.061455957886537,0.918713077527161,0.936703434664521,0.993586962617108,1.03445888512017,1.07643671005125,1.13879064643014,1.15954163517524
"69",70,76,1.00582247409231,0.0602170164148889,0.891250077321018,0.908865787949473,0.964578376907694,1.00462103017476,1.04575695555215,1.10687746607965,1.12722226794436
"70",71,77,1.00403452664852,0.060109974801339,0.889665793475142,0.907250190461678,0.962863744865014,1.00283521841459,1.0438980206768,1.10490988354194,1.12521852053916
"71",72,78,0.979207404768186,0.0593731699889144,0.866284512588668,0.88363631046423,0.93853370032365,0.978007657484622,1.01857334573147,1.07887101940168,1.09894804466304
"72",73,79,0.940427481794831,0.0584353204303952,0.829373276881593,0.846418032059665,0.900381632659515,0.939217427730006,0.979154338480594,1.03856461380891,1.05835798820032
"73",74,80,1.0316021623151,0.0618713861321848,0.913888501998642,0.93198567900271,0.989223836718861,1.03036549328124,1.07263247599375,1.13543710992213,1.15634339091703
"74",75,81,1.026988428104,0.0613742975362632,0.910207770678497,0.928164493766725,0.984952776727402,1.02576608192237,1.06769167915639,1.12998196877437,1.15071526419365
"75",76,82,1.00921938339353,0.0605289562614879,0.894059768552321,0.91176428923326,0.967760544715353,1.00800954649574,1.04935945810827,1.1108014133919,1.13125408864355
"76",77,83,1.01828326620856,0.0607456868477618,0.902692453610843,0.920467686088107,0.976679233251577,1.01707559332081,1.05857089285194,1.12021839958217,1.14073687522488
"77",78,84,1.0424531561368,0.0613207738903999,0.925718738259002,0.943681389001661,1.00046376708325,1.04125103487763,1.0831321872958,1.14532553699182,1.16601883093581
"78",79,85,1.05392120638099,0.0612579258319136,0.937265001945409,0.955225333409506,1.01198201866187,1.052734596076,1.0945669412323,1.156664781191,1.17732053111634
"79",80,86,1.06496938517292,0.0610801832622813,0.948606223735852,0.966532097838879,1.02315975648919,1.06380188348495,1.1055063874727,1.16738919021226,1.18796708633125
"80",81,87,0.955632346873747,0.057315019388038,0.846587420858022,0.863351875571237,0.91637486930582,0.954486749302998,0.993641083561251,1.05182062399653,1.07118731311506
"81",82,88,0.978414264425414,0.0585761298231438,0.866963913893528,0.884099604336739,0.938294050323826,0.97724555931381,1.01726054924123,1.07671555336911,1.09650596854084
