"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.71203877032919,0.494223022456317,0.884635415372549,0.987876689771354,1.35802143379549,1.66472417535777,2.01458099009952,2.5976641924057,2.80803441782377
"2",3,9,1.60841472788075,0.4460939825835,0.856413102478565,0.951386998111628,1.28941852175978,1.56736663032631,1.88274627969369,2.40551652754445,2.59345554701636
"3",4,10,1.53767489255623,0.410960901442131,0.840661172517385,0.92962744429063,1.24426212183894,1.50122261771385,1.79141838424465,2.2701099809135,2.44165154678124
"4",5,11,1.3791964795735,0.368605763972058,0.754019549426774,0.833816630997416,1.11602390493228,1.34650110984455,1.60678823654729,2.03614412193186,2.19000598498928
"5",6,12,1.29149795068397,0.345167346227149,0.706073947608586,0.780796997475213,1.04505964703453,1.26088157105483,1.50461790282821,1.90667247177531,2.0507507693711
"6",7,13,1.23783024431988,0.330824048373691,0.676733313137179,0.748351275073354,1.00163259069247,1.20848611670709,1.44209407787257,1.82744142205236,1.96553260076445
"7",8,14,1.11441108637121,0.309082024142841,0.593376968869958,0.659180869054834,0.893390411510837,1.0859703775191,1.30448527394383,1.66669344683063,1.7969094435078
"8",9,15,1.81100113744561,0.395192847428363,1.12103824753304,1.21354537263852,1.53115446217645,1.78233762097267,2.05963652822396,2.50625472269008,2.66375654836159
"9",10,16,3.19822247586185,0.47155217805963,2.34150081389861,2.46407646279536,2.86881442119475,3.17507704382066,3.50241209337305,4.01132846662991,4.18644127323025
"10",11,17,2.90194811802015,0.341997865483931,2.27059567822559,2.36323936411495,2.66454246358741,2.88852428673373,3.12472490570451,3.48645002568327,3.60957362087061
"11",12,18,3.27311679096384,0.285973541819047,2.73664594946582,2.81735908968329,3.0759616485264,3.26479202752301,3.46119852139018,3.75727210851465,3.85689199925742
"12",13,19,2.58274760168346,0.193043619321912,2.21823504545487,2.27363110474784,2.45005362563548,2.57793961133069,2.71020094911462,2.90826504698956,2.97458163752272
"13",14,20,2.03934346953061,0.140394194306132,1.77344145167139,1.81403944150875,1.94297528777534,2.03612266427092,2.13220095730369,2.27563421439671,2.32354795993869
"14",15,21,2.0653383790247,0.123870764341444,1.8296675465388,1.86589933780863,1.98049406065269,2.06286248268493,2.14748388495672,2.27322307548128,2.31507888586903
"15",16,22,2.03717629078613,0.107368617902961,1.83214762437483,1.86384577837022,1.96376593354275,2.0352903272556,2.10853084287485,2.21694008144687,2.25292235590149
"16",17,23,1.86710435074733,0.0898310999590909,1.69516728559659,1.72184294724759,1.80575459224535,1.86566388159942,1.92688390056828,2.01727937872577,2.04722724369955
"17",18,24,1.76405262831078,0.0780370938373513,1.61439824670825,1.63768538615029,1.71080902357165,1.76290204259009,1.81604200627992,1.89434465821932,1.92024553194233
"18",19,25,1.56228593232399,0.0665556183545064,1.43454525452387,1.45444716761185,1.51689458951206,1.56134091248166,1.60664712749725,1.6733482722099,1.6953969567727
"19",20,26,1.39996545234567,0.0587412454933937,1.28718668298796,1.3047660913048,1.35991002138766,1.39914396214584,1.43912539176185,1.49796701345534,1.51741257889242
"20",21,27,1.30333836429411,0.0541181799372966,1.19941283706548,1.21561759550845,1.26643943069833,1.30258939583612,1.33942086027861,1.39361395244128,1.41152012476568
"21",22,28,1.35050989981538,0.0533003742030569,1.24804956398765,1.26405069960711,1.31418737638306,1.34980876525086,1.38606812553289,1.43936075029086,1.4569546471335
"22",23,29,1.37981348578102,0.0516020986121617,1.28051527855591,1.29604678773715,1.34466666760072,1.37917026943215,1.41425913950964,1.46577426661716,1.48276697388742
"23",24,30,1.32293898302047,0.0480830351909831,1.23036397996522,1.24485535947179,1.29019777378244,1.32235649276458,1.35504522361967,1.40300954507703,1.4188241749262
"24",25,31,1.32533802973873,0.0461983795283672,1.23632565771787,1.25027493197206,1.29389202422723,1.32480127698141,1.35619892328124,1.40223204935449,1.41740067660326
"25",26,32,1.38425659646289,0.0452942594702022,1.2968934588011,1.31060621564786,1.35344277893327,1.38376260333814,1.41453191228618,1.45959204012164,1.47442701836052
"26",27,33,1.37166064438644,0.0428225965945783,1.28900323432821,1.30199193765909,1.34253948117519,1.37121503639671,1.40029604940617,1.44284936638251,1.45685037674132
"27",28,34,1.35580511251899,0.0405124264791134,1.27755492790878,1.28986337435396,1.32826440773159,1.35540162044952,1.38290596891697,1.42312320357749,1.43634828344188
"28",29,35,1.4288194096327,0.0396894280453528,1.35207898866026,1.36416887067297,1.40185275758936,1.42845193173691,1.45538547134069,1.49472345265152,1.50764815684816
"29",30,36,1.382600439706,0.036833347819902,1.31134225853149,1.3225779442231,1.35758165669441,1.38227336559299,1.40726267631965,1.44373861752328,1.45571733944834
"30",31,37,1.40630532394253,0.0353013372756966,1.33795907168016,1.34874792238979,1.38233666898343,1.40600995473442,1.42995199369713,1.46487025882904,1.47633012171596
"31",32,38,1.36292688546432,0.0329205551185337,1.29916020458784,1.30923321272703,1.34058019747741,1.36266183689294,1.38498464078598,1.41752466465109,1.42819980443257
"32",33,39,1.32896094806732,0.0309984133951803,1.26889288369323,1.27838745523928,1.30792354116016,1.32871994007089,1.34973562898766,1.3803565424381,1.39039863161511
"33",34,40,1.26156572482803,0.0289575474860562,1.20544212930101,1.21431566170459,1.24191526750093,1.26134417120514,1.28097466353871,1.30957152868046,1.31894838296043
"34",35,41,1.23513796683774,0.0277576615788377,1.18132717956755,1.18983806082294,1.21630409434086,1.23493003737752,1.25374517248637,1.28114714017122,1.29013039256067
"35",36,42,1.30253857849733,0.0277135867765389,1.2487815750212,1.25729146316876,1.28374045838869,1.30234203351009,1.32112244186804,1.3484561274339,1.35741252455647
"36",37,43,1.29611189993473,0.0265565478536103,1.24457929608323,1.25274179077708,1.27810228984793,1.29593052858707,1.3139237941499,1.34010068386989,1.34867521674717
"37",38,44,1.29549646373379,0.0255199031911378,1.24595621005787,1.25380769620987,1.27819343072886,1.29532889593286,1.31261682820208,1.33775682074086,1.34598898675024
"38",39,45,1.24695304302917,0.0240780167724142,1.20020289284925,1.20761430771043,1.23062929817481,1.24679806844706,1.26310784737035,1.286820411139,1.29458389684445
"39",40,46,1.23787554555165,0.0232528966049477,1.19271581718773,1.19987786338397,1.22211335336529,1.23772995043778,1.25347902187291,1.27636986621563,1.28386267526584
"40",41,47,1.24290270360413,0.022613186787624,1.19897262832227,1.20594268458748,1.22757651067336,1.24276556597639,1.25807940025121,1.280330511791,1.28761211746873
"41",42,48,1.2461413660643,0.0219433259032233,1.2035003797086,1.21026881246532,1.23127144957869,1.24601256829007,1.26087087762655,1.28245326077179,1.28951429669423
"42",43,49,1.28000472737383,0.0215347460603896,1.23814159499318,1.24479038763792,1.26541468543663,1.27988396284363,1.29446312149702,1.3156310060228,1.32255415217797
"43",44,50,1.31788231887803,0.0210410533403634,1.27696171264594,1.28346490099118,1.30362996733333,1.31777034144497,1.33201260151683,1.3526817020261,1.3594392815893
"44",45,51,1.31402846328039,0.0201113718142236,1.27490324440253,1.28112411534131,1.3004082031098,1.31392586234174,1.32753687600018,1.34728279236355,1.35373675311597
"45",46,52,1.34155409229957,0.0194735137451444,1.30365514037966,1.30968451810459,1.3283685531423,1.34145986998323,1.35463691766215,1.37374506735578,1.37998850045708
