"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.53954741120229,0.335956787990847,0.953004112566485,1.0316452034135,1.30164738146962,1.51518031298826,1.75091446354219,2.13058837476678,2.26448201125241
"2",3,9,1.508151570176,0.314471340964507,0.956038724744675,1.03075587122228,1.28585363549165,1.48635151318016,1.70670935911285,2.05992588428321,2.1840830971861
"3",4,10,1.35770606722791,0.283101285069764,0.860669181240982,0.927932926546614,1.15758343988618,1.33808067264923,1.53645674459084,1.85443819204773,1.96621011509702
"4",5,11,1.32399325641894,0.270258991759357,0.848307461743904,0.912950652438992,1.13310175049162,1.30565055869498,1.49490878692041,1.79761788633257,1.90386329429407
"5",6,12,1.50396171269591,0.279278678844404,1.00722676276645,1.07590191235048,1.30737858982489,1.48671056692936,1.68175434925842,1.99087717813137,2.09869019640917
"6",7,13,1.73991070381261,0.282250787013106,1.23126436824635,1.30309734777073,1.54214666114759,1.72467235937324,1.9210734088854,2.22871046564505,2.33512619512596
"7",8,14,1.57886833587669,0.243624673374846,1.13790942121384,1.20062150722128,1.40844159872541,1.56635546879692,1.73566217460995,1.99980290904635,2.09091524469127
"8",9,15,1.55469588955341,0.224401022585417,1.14631001943262,1.20489797988073,1.39803896158573,1.54391282089339,1.69960371618038,1.94127975629572,2.02434478324464
"9",10,16,1.46514827118831,0.203179508381803,1.09424280810527,1.1477149771027,1.32347430817304,1.4557670734675,1.59660020325954,1.81458483674866,1.88935325245112
"10",11,17,1.2820352967636,0.1795208493079,0.954559486497894,1.00171550620943,1.15682255607711,1.27366578722863,1.39812845402485,1.59090711411061,1.65706246240791
"11",12,18,1.61425299148931,0.195756929128815,1.25353061153675,1.30631094504954,1.47826238583058,1.60634691956438,1.74162797758292,1.94916539328187,2.01989652785163
"12",13,19,1.47164246984672,0.172242722933407,1.15353277630839,1.20024334357422,1.35209747406936,1.46492812349077,1.58387035020753,1.76594644238473,1.82790259876205
"13",14,20,1.5141472128451,0.164232324043665,1.20944701475977,1.25450863728127,1.4003779218046,1.5082135381016,1.62144984614148,1.79402730385977,1.85256295853214
"14",15,21,1.356329106419,0.145413743635716,1.08636401310168,1.12633007523452,1.25562428908849,1.35113599770459,1.45137431583495,1.60404333896773,1.65580190207395
"15",16,22,1.33056159753637,0.137972810350856,1.07393493354111,1.11203645110839,1.23508526023315,1.32579561030639,1.42084372540035,1.56534484745128,1.61426927794056
"16",17,23,1.25715440957521,0.128981320945256,1.01711299015246,1.05278418675027,1.16792219079554,1.25274610359878,1.34158221186602,1.47656256833961,1.52224452199275
"17",18,24,1.27413158001339,0.126157825337925,1.03890203470632,1.07396075358198,1.18692345450297,1.26997017905903,1.35680430203045,1.48849802873577,1.53300708250274
"18",19,25,1.32210219056935,0.124372912080425,1.08959932883522,1.12439121967354,1.2362247700115,1.31820423595488,1.40373123477096,1.5331100338867,1.57675432101625
"19",20,26,1.29159428156463,0.117905887192938,1.07086001833596,1.10396535036112,1.21023429662939,1.28800829679986,1.36904585786712,1.49145584731418,1.53270524739363
"20",21,27,1.22928237384959,0.110840658893207,1.02165383741531,1.05282175266295,1.15281743804595,1.2259525950749,1.30211812556524,1.41710163892562,1.45583181812669
"21",22,28,1.13667690722629,0.103763930447175,0.942418119287338,0.971552706638922,1.06507546289647,1.13352103534767,1.20483872821599,1.31256652649156,1.34886835995157
"22",23,29,1.19299493421958,0.105037347107551,0.996019713770094,1.02563897657716,1.12056903145955,1.18991368008211,1.26206249412171,1.37086174024311,1.40747894727099
"23",24,30,1.21059369532305,0.103427999398288,1.01637323954923,1.04563949303511,1.13932067471305,1.20764948934371,1.27865771115804,1.38559122043274,1.42154428313673
"24",25,31,1.24735023749025,0.102186913061902,1.0551105785404,1.08415980200161,1.17699018881692,1.24456085732547,1.31466998971361,1.42005582247778,1.4554403659605
"25",26,32,1.08953927710877,0.0924135153295181,0.915946603078512,0.942117470137798,1.02586556906026,1.08692758991971,1.15036639847663,1.24587010859952,1.27797260093114
"26",27,33,1.05259343743148,0.0902591426248942,0.883129479723089,0.908658866856513,0.990390638436819,1.05001467870831,1.11198555042609,1.20532471371505,1.23671090267413
"27",28,34,1.0133162140008,0.08853384868529,0.847231519580676,0.872219303056988,0.952279436132974,1.01073897086801,1.07154397645782,1.16320467344207,1.1940457515256
"28",29,35,1.2090384080148,0.0971123018702995,1.02619398636797,1.05385876795256,1.14219755642858,1.20643932181749,1.27304635740876,1.37308405376326,1.40665201496474
