"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.72685030308895,0.445870831017115,0.96650500586304,1.06446857405358,1.40897214050004,1.6886311638658,2.00313153055319,2.51964565547956,2.70420395691242
"2",3,9,1.87838021238382,0.430929974911976,1.13090759199121,1.23003772632918,1.57262763096103,1.84553093754775,2.14836805373472,2.6388049045572,2.81240578806123
"3",4,10,1.77531773552661,0.378499012973092,1.11258217308143,1.20186900814197,1.50753247649409,1.74849264337414,2.01389201047908,2.4402906956817,2.59040893623223
"4",5,11,1.47493651383975,0.314457521329681,0.924334860676763,0.998514490948361,1.25246013763325,1.45265018891265,1.67314436269328,2.02739700022019,2.15211544917754
"5",6,12,1.45769255426436,0.297550246650164,0.933971124638203,1.00514210477974,1.24752446956038,1.43749757685968,1.64586745244625,1.97914467888369,2.09611894545145
"6",7,13,1.15691747697968,0.252460091003652,0.716150152596246,0.775246255611743,0.978143702187793,1.13860643207,1.31575262238046,1.60106464346718,1.70168115386462
"7",8,14,1.1499926955003,0.250948979798877,0.711863603718016,0.77060598435676,0.972288979160562,1.13179125217171,1.30787712600998,1.59148139919006,1.69149566494898
"8",9,15,1.1408854573535,0.248961617504606,0.706226079764632,0.764503256709578,0.964589045660659,1.12282815831353,1.2975195398271,1.57887784078022,1.67810005478098
"9",10,16,1.23196675568359,0.256882826199159,0.780961243765519,0.841995586970966,1.05037780215667,1.21415890001312,1.39416304940471,1.68269573084943,1.78411627888947
"10",11,17,1.07124855328516,0.233765599216246,0.663119738588882,0.717839816831121,0.905712850504433,1.05429342834415,1.21832206812706,1.48250693516004,1.57567286388406
"11",12,18,1.58688985655154,0.285013831969165,1.078214666706,1.14893445426793,1.38650450271769,1.56985952802522,1.76872425185801,2.08294689546985,2.19230704138446
"12",13,19,1.56697184407402,0.261161974012336,1.09748781529484,1.1635273676666,1.38382149812383,1.55248697142043,1.73434227172087,2.01983259149358,2.11874299596254
"13",14,20,1.71093479546775,0.252263573097244,1.2526193053645,1.31819289955855,1.53471325150358,1.69855281599813,1.87366537626629,2.14591745927805,2.23959655640333
"14",15,21,1.47386150903249,0.212733584747034,1.08670912839766,1.14225088442688,1.32534975325679,1.46363909193211,1.61123504263358,1.8403454529555,1.91909162240857
"15",16,22,1.4167059736314,0.196461770391698,1.05806378325699,1.10976799827152,1.27971618655068,1.40763494709283,1.54381170147672,1.75458909411114,1.82688543656849
"16",17,23,1.23299898229779,0.174372388315775,0.915155610407611,0.960869512394771,1.11134168218459,1.22478880255411,1.34571039166127,1.53313699283893,1.59748824275419
"17",18,24,1.20382971437702,0.168569877360327,0.89633029362571,0.940609743562698,1.08625509046651,1.19597075425449,1.31284105961826,1.49386000651845,1.55597980481597
"18",19,25,1.27386251259352,0.170227038570713,0.962262052145522,1.00737937264966,1.15529237084276,1.26628807385413,1.38417905097014,1.56618511379285,1.62849810138743
"19",20,26,1.10791873704493,0.153640685210108,0.827446705440421,0.867881396664289,1.00078743759718,1.10082484427299,1.20732032077977,1.37215637497284,1.42869490443424
"20",21,27,1.13630717928006,0.154631821127633,0.853628925507298,0.894472624051616,1.02854373206321,1.12930068694146,1.23643601510005,1.40204378370521,1.45879336475619
"21",22,28,1.17182388461893,0.155211865195943,0.887527966690735,0.928733248048818,1.06373951221086,1.16497828345345,1.27244878695809,1.43826758604014,1.49501410453497
"22",23,29,1.22487647506002,0.155559467892168,0.939105769871684,0.980717418034128,1.11667648654032,1.21829744903097,1.32590723156552,1.49147903877995,1.54802757331515
"23",24,30,1.32355258903594,0.157076793632284,1.03370555294703,1.07620781237228,1.21449438626982,1.31734394013843,1.42584483410905,1.59207715377461,1.6486765497891
"24",25,31,1.2785648806699,0.147635955606233,1.00567238571339,1.04579596771338,1.1761335808626,1.27288688185527,1.37480839516476,1.53070328051976,1.58371950901212
"25",26,32,1.0457494147176,0.128722854648354,0.808782521583455,0.843401945631861,0.956291339208126,1.04047262042697,1.12945717956358,1.26609790214678,1.31269811841011
"26",27,33,1.18096051928638,0.137283871816716,0.927308013788471,0.964578526676001,1.08569530547451,1.17564515832281,1.27043316910143,1.41547494094727,1.46481459672965
"27",28,34,1.19459677245176,0.135261449051038,0.944279175997013,0.981152366378425,1.10079743915208,1.18949555474306,1.28283681874034,1.42544303262237,1.47389944786371
"28",29,35,1.10652246056068,0.126926831166894,0.871813844752661,0.90634516297452,1.01847414273016,1.10167309422006,1.18928600042075,1.32324249713623,1.36878501912081
"29",30,36,1.22800807429899,0.132419516167874,0.982247949930007,1.01861201211959,1.13628954038379,1.22325164675695,1.3145429251957,1.45362970283853,1.50079459394472
"30",31,37,1.08869493817473,0.120966104241637,0.864580929242137,0.897652269958343,1.00484827358128,1.08421800459554,1.16766260305721,1.29500979386875,1.33824700273671
"31",32,38,1.17833715419572,0.124903488538019,0.946301492747925,0.980686741532246,1.09185996054233,1.17392685698499,1.26000784223226,1.39103235079214,1.43543259643497
"32",33,39,1.4566758267599,0.135835721250104,1.20263528990303,1.24067540216458,1.3629011946783,1.45245576061502,1.54585099669461,1.68707191315853,1.73469600713899
"33",34,40,1.28412263269602,0.119227793269646,1.06109537807831,1.09450244125981,1.20182094782769,1.28043451612942,1.36240462163355,1.48632387294093,1.52810685857183
"34",35,41,1.18881005427411,0.110378242528355,0.982336750310893,1.01326421127353,1.1126171206991,1.18539568406984,1.26128164939126,1.37600313168695,1.4146848215434
"35",36,42,1.35775796882183,0.115580033814932,1.14068308486588,1.17340130138787,1.27811663915459,1.35447977224247,1.43382625986997,1.55329727011991,1.59346086280409
"36",37,43,1.25806330813899,0.105948043177255,1.05898457818226,1.08901223097232,1.18507446740147,1.25509041640996,1.32781186248078,1.43725555052684,1.47403521827176
"37",38,44,1.36863322684244,0.106872299840863,1.16718011750984,1.19771461739637,1.29511341239766,1.36585245938796,1.43912208821474,1.54903757585765,1.58588798775737
"38",39,45,1.32154654035381,0.0998995283363987,1.13299478028161,1.16163032225881,1.25286395214504,1.31903016302337,1.38748632789096,1.490046594727,1.52439763037924
"39",40,46,1.41411120366472,0.0990075877546293,1.22670654194031,1.25529325940086,1.34613219541267,1.41180123685443,1.47957234613204,1.58080884590153,1.61464240160943
"40",41,47,1.49834464277418,0.0963172415872869,1.31549726209832,1.34351412411177,1.43230392985136,1.49628131331832,1.56213628386756,1.66021350845183,1.69291714138913
"41",42,48,1.42848196839857,0.0877509497672593,1.2616544057452,1.28727340698782,1.36835638383223,1.4266855380951,1.48664939012288,1.57581842969515,1.60551800885962
"42",43,49,1.32149782072192,0.07968931695649,1.16990972552748,1.1932088313599,1.26691090588119,1.31989635081241,1.37433907972364,1.45524966621018,1.48218651861602
"43",44,50,1.36265912652843,0.0777710641598641,1.21447725051825,1.23730978451909,1.3094281829186,1.36117986943421,1.41427761590608,1.49305442833944,1.51924715222436
"44",45,51,1.28537962823099,0.0720805102949125,1.14797097375638,1.16915979195656,1.23605565815816,1.28403252149847,1.33323518977073,1.40619463763216,1.43044347465891
"45",46,52,1.20499449387974,0.0673612400207013,1.07657086966838,1.09637684931331,1.15890185713083,1.20373952399214,1.24971915487461,1.317893019222,1.34054972655667
"46",47,53,1.16285569166712,0.0647030214874515,1.03948367970163,1.05851439630419,1.11858479515037,1.16165585461148,1.20581870889238,1.27128980125834,1.29304601165315
"47",48,54,1.14201776675922,0.0630573823939047,1.02175764438939,1.04031442169147,1.09887735288017,1.14085738951284,1.18389331299866,1.24767932208467,1.26887196303249
"48",49,55,1.29125998579128,0.0660666082837589,1.16500255971601,1.18454547004743,1.24610592723357,1.29013340683622,1.33518600597782,1.40181741246585,1.42391945522744
"49",50,56,1.26240585463844,0.062729451248117,1.1424368108843,1.1610273273734,1.2195482637937,1.26136698963932,1.30413101658505,1.36732808610902,1.38827849819206
"50",51,57,1.28493295989273,0.0610490072800876,1.16804958671676,1.18619210414766,1.24324603925236,1.28396624737565,1.32556609715239,1.38697139467857,1.40730992379876
"51",52,58,1.21696674918141,0.057178085704204,1.10746554116223,1.1244690395969,1.17792818810765,1.21607137948077,1.25502929432006,1.31251867761896,1.3315561273692
"52",53,59,1.23408689206282,0.0560369991389392,1.12668593393645,1.14338332710937,1.1958424528156,1.23323882608838,1.27140687658076,1.32768331471318,1.34630721357228
"53",54,60,1.32791931610908,0.056417885604275,1.2196297968637,1.23650270881217,1.28944308507492,1.32712041287199,1.36552467815461,1.42206107730715,1.44074883299621
"54",55,61,1.29316628047271,0.0531937528765907,1.19099612479505,1.20693185351883,1.25690118225592,1.29243698744662,1.32863638832476,1.38188841116513,1.39948085965597
"55",56,62,1.19860204888158,0.0492206867693083,1.10405974591618,1.11880651405067,1.1650461938398,1.19792836580273,1.23142353295089,1.28069559535425,1.29697275564228
"56",57,63,1.22879207233398,0.0486865145459761,1.13520827640203,1.14982146588569,1.19561245476057,1.22814912220634,1.26127081849665,1.30995585541335,1.32602962834222
"57",58,64,1.21472597151623,0.0470343774539733,1.12427715655004,1.1384104223936,1.18267956893695,1.2141189660236,1.24611068435114,1.29311208523842,1.30862428329641
"58",59,65,1.21536937359353,0.0457734587264934,1.12729886186276,1.14107147530865,1.18419042716438,1.2147947791907,1.24592196004085,1.29162727775167,1.30670519941588
"59",60,66,1.18432231997629,0.0439543238625924,1.09972877204644,1.11296311670652,1.15438665055346,1.18377859839601,1.2136652830178,1.25753621806839,1.27200573904134
"60",61,67,1.20797998927797,0.043391922163314,1.12441918517279,1.13750368624007,1.17843628513398,1.20746046773848,1.23695736613921,1.28022843730488,1.29449314332859
"61",62,68,1.27165035594728,0.043337728193748,1.18811739977622,1.20121562441707,1.24215735785101,1.27115807457054,1.30060671946358,1.3437643121586,1.35798086555016
"62",63,69,1.31090615015197,0.0423755777156594,1.22915647687214,1.24199192676054,1.28208083155272,1.31044957580666,1.3392337569388,1.38137779676122,1.39525046354939
"63",64,70,1.3183788264662,0.0406860538885653,1.23983145089662,1.25217761510623,1.2907131429138,1.31796031713454,1.34558829189028,1.38600761658447,1.39930452745853
"64",65,71,1.2469193770825,0.0378724789443111,1.1737861218408,1.18528547412671,1.22117008412109,1.24653596650793,1.27225071286858,1.30986113309127,1.32223149762644
"65",66,72,1.2138677311795,0.0362066389185513,1.14393237687828,1.15493336965046,1.18925447463162,1.21350776566552,1.23808858778837,1.27402997203019,1.28584871683813
"66",67,73,1.18409070935169,0.0348412703479241,1.11677920891817,1.12737064427582,1.16040807826229,1.18374899796977,1.20740083919909,1.24197638688634,1.25334410616696
"67",68,74,1.16083756120582,0.0337504120823441,1.09562222659772,1.10588650944882,1.13789848120686,1.16051048896176,1.18342009798572,1.21690428970707,1.22791160057339
"68",69,75,1.1369768399081,0.0327807438773125,1.07362756524405,1.08359994990017,1.11469820115289,1.13666181612979,1.15891206942785,1.19142830803783,1.2021163499431
"69",70,76,1.11316584841604,0.0319353540183866,1.05144594063514,1.06116286436284,1.09146255424604,1.11286046802109,1.13453624559381,1.16621051598604,1.17662118977071
"70",71,77,1.0700765282716,0.0309291341939355,1.01030765277443,1.01971590868804,1.04905590153711,1.06977855457726,1.09077233219734,1.12145356642984,1.13153874584592
"71",72,78,1.06057170689306,0.0306160680234805,1.00140675565419,1.01072019818782,1.03976404515978,1.06027711819388,1.08105823580413,1.11142808759933,1.12141076380777
"72",73,79,1.00361903097217,0.0296337886412177,0.946371016452318,0.955378279094608,0.983475548138723,1.00332738111372,1.02344458491955,1.05285463036508,1.06252444934678
