"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.75680024592511,0.487248720571594,0.935422141421337,1.03915792567673,1.40837480337715,1.71196522506366,2.05644046267754,2.62743927540082,2.83271675135518
"2",3,9,2.0778099874027,0.489744510703196,1.23144188325193,1.34299300590073,1.72995221782786,2.03946128189882,2.38391846864326,2.9434752742909,3.14195423320431
"3",4,10,2.22898295869824,0.445796591739649,1.44248024532049,1.54977849148844,1.91434346051002,2.19933466496981,2.51133290746945,3.00934126858298,3.18388795959708
"4",5,11,1.96702318633591,0.359127656763955,1.32714228372797,1.41586192749183,1.71438582870472,1.94521107198776,2.19590145088906,2.59260030713546,2.7308076308545
"5",6,12,1.80294049691206,0.304752566397515,1.25581411596886,1.33261199536384,1.58912025259742,1.7857990113857,1.99808704651756,2.33174875102317,2.44744495603454
"6",7,13,1.35369919339709,0.23930246983446,0.925929246177515,0.985554462800693,1.18554456771563,1.33962457186558,1.50652210960285,1.76986145272988,1.86142207598706
"7",8,14,1.42769593263434,0.237949322105723,0.999940679175454,1.06011049056723,1.26082439313443,1.41449850738993,1.58019010775201,1.84030541862209,1.93042444832233
"8",9,15,1.44660510415122,0.228728350197147,1.03347589514776,1.09203276105395,1.28647511547212,1.43456808429179,1.59362100871631,1.84224208808301,1.92811787911202
"9",10,16,1.16933806323173,0.194889677205288,0.818990003688076,0.868271401154871,1.03266383285322,1.15852886267145,1.29423667736254,1.50728115474542,1.58109211773916
"10",11,17,1.05113495778653,0.18297910954457,0.723552939122533,0.769325324189983,0.922625725846855,1.04053671069782,1.16809908758167,1.36910180839941,1.43892259937973
"11",12,18,1.0708980243432,0.186419417845252,0.737156924783199,0.783789905995648,0.939972607416852,1.06010051277276,1.19006127221043,1.39484317487364,1.46597671159509
"12",13,19,1.00896028898262,0.181214617435745,0.685539564837249,0.730503906250541,0.881553296192684,0.99813223741972,1.1245723985931,1.32435826778533,1.39389053177306
"13",14,20,1.22637453905827,0.201614732278254,0.86348085220407,0.914630646339426,1.08504798038221,1.2153439899568,1.35568412649705,1.57574986296591,1.65193228760221
"14",15,21,1.1874905630289,0.192636406713918,0.840338998249973,0.889365069020461,1.05251643254247,1.17709037974463,1.31113426622317,1.52109682403695,1.59372565161961
"15",16,22,1.07290975976348,0.178818293293913,0.751452805424951,0.796670261333961,0.947506234220153,1.0629919292053,1.18750873357223,1.38298470945561,1.45070892460231
"16",17,23,1.30502294195645,0.196739610967059,0.948231667442002,0.99913200780457,1.16749438275576,1.29514983041635,1.43179436519776,1.64459588523584,1.71790603538946
"17",18,24,1.2828796857131,0.187127234449363,0.942611739509667,0.991362579440728,1.15220255154871,1.27379280912913,1.40365597381167,1.60539633667453,1.67477360043322
"18",19,25,1.26383705054885,0.17873354975158,0.938044219059583,0.984901454050048,1.13913702600685,1.2554215291245,1.37936744207252,1.57148169863527,1.63744241316926
"19",20,26,1.25367288797463,0.172205214899376,0.939087021838126,0.984491125857094,1.13363008121667,1.24579702957298,1.36513385177661,1.54972251584779,1.61300585623007
"20",21,27,1.28877316058057,0.169224206481185,0.978619493315741,1.02361655904236,1.17095987964031,1.28137403353681,1.39852375082192,1.57917108407416,1.64096623244868
"21",22,28,1.38252280915678,0.168902043404602,1.07143618753082,1.11691937361008,1.26516504084569,1.37565070297628,1.49239175829332,1.6715694106972,1.73265563388363
"22",23,29,1.56236560513201,0.170468063064594,1.24620399446629,1.29293575034205,1.44425965922324,1.55617013445036,1.67371960442771,1.85293005391192,1.91373024300603
"23",24,30,1.38245204811071,0.148214416959168,1.10728741851702,1.1480232282766,1.27980765279817,1.37715891995743,1.4793278312804,1.6349372646503,1.68769269932677
"24",25,31,1.35203680635869,0.139451948780224,1.09258336536492,1.13112206536678,1.25554893122697,1.34724538385869,1.44330273724261,1.58929640790046,1.63871583027573
"25",26,32,1.43712722620947,0.13765182324704,1.18003099234123,1.21844969171203,1.34204374146882,1.43273473907068,1.52742338104403,1.67078862923084,1.71918269777461
"26",27,33,1.29158428980403,0.123147730118548,1.0615252071708,1.09591584517559,1.20652803954012,1.28767251351418,1.3723771239002,1.50059677265517,1.54387111148773
"27",28,34,1.23650320668785,0.11632043703545,1.01905365085999,1.05159295447447,1.15618588578837,1.23285762360456,1.31284721067947,1.43384943057228,1.47466798557827
"28",29,35,1.11134450654731,0.107437728637973,0.91077364283973,0.940723878824086,1.03711642323682,1.10788429809071,1.18180135695834,1.29376877832079,1.33157711861233
"29",30,36,1.04518704610955,0.103488938565642,0.852225127989126,0.880984260402787,0.973649063275762,1.04177339367413,1.11300457726119,1.22103468919425,1.25754605674967
"30",31,37,0.97918155071791,0.100461907379775,0.792216347782884,0.820000188283757,0.909679712524305,0.975747977364343,1.04494129012713,1.15007576983908,1.18565686145138
"31",32,38,1.10811250463327,0.108140707410679,0.906326244604477,0.936435507120141,1.0333831380957,1.10459667943145,1.1790100385478,1.29178288001714,1.32987649564388
"32",33,39,0.99744255647056,0.101274947465346,0.808858720366256,0.836907517800618,0.927395053449219,0.994017020720989,1.06375670129073,1.16966302021551,1.2054908832704
"33",34,40,1.16286711276298,0.109880613863805,0.957501183366952,0.988221846605498,1.08698910085342,1.15940803588204,1.23497508773338,1.34931213735201,1.38788846503002
"34",35,41,1.1303508326783,0.105867055199605,0.93240004846013,0.962031468568631,1.05725832513058,1.12704743685157,1.19984296619334,1.30993887986112,1.34707245477406
"35",36,42,1.19524479862898,0.106905944779497,0.994911243355817,1.02500163822252,1.12150661137615,1.19205899460779,1.26551071168202,1.37635546448089,1.41368117937772
"36",37,43,1.1681001514373,0.102845483701207,0.975235304960012,1.00423648876891,1.09718559383499,1.16508319526979,1.23572644629149,1.34225532770187,1.37810842635938
"37",38,44,1.19497697126411,0.101723195089488,1.00392709836792,1.03272274249774,1.12488380510447,1.19209179621114,1.26192546881173,1.36707315290615,1.40242155036941
"38",39,45,1.22501647374964,0.100357259845738,1.03621885938,1.06474795747935,1.15591621936393,1.2222770373422,1.29113086809032,1.39462977108944,1.42938075551996
"39",40,46,1.32208932611432,0.101102697664318,1.13135307508983,1.16030023642907,1.25256507352469,1.31951304895351,1.38880549731206,1.49266658775695,1.52746526340671
"40",41,47,1.3263699666817,0.0967354719565448,1.14354006866796,1.17136500384712,1.25990472428963,1.32401898960565,1.39027266737455,1.48939453798478,1.5225593736798
"41",42,48,1.23674405583508,0.0892543141943814,1.06798734885057,1.09368593551148,1.17543014042446,1.23459759469174,1.29571834374636,1.3871241395423,1.41769812006026
"42",43,49,1.26853997000583,0.0877467445245268,1.10237846754077,1.12774151405964,1.20830485591533,1.26651735491288,1.3265704258075,1.41623791311372,1.44619513102215
"43",44,50,1.23447070511818,0.0836089061197773,1.07602783191116,1.10024005471915,1.1770959414038,1.23258364919319,1.28978856094529,1.37513842049842,1.40363693883885
"44",45,51,1.21646604230021,0.0805624317148741,1.06367910812888,1.0870544631073,1.16120182539095,1.21468804615207,1.26979221822959,1.35194265891151,1.37935662103917
"45",46,52,1.18842965908724,0.0775246029471936,1.04132933417353,1.06385214415889,1.13526207250895,1.18674436900138,1.23976024992718,1.31875597190478,1.34510683277684
"46",47,53,1.18898318721082,0.0758067992389445,1.04503404028862,1.0670997227078,1.13701222408461,1.18737248755459,1.23919845157002,1.31636100412258,1.34208533656364
"47",48,54,1.13961216087745,0.0725117853668222,1.0019108289212,1.02302091942091,1.08990171854235,1.13807459226019,1.18764661826636,1.26144829270313,1.28605092080394
"48",49,55,1.22550561622577,0.0740355018262199,1.08468029843226,1.10632331957899,1.1747901888082,1.2240150563509,1.27459628396682,1.34977243844264,1.37480127171256
"49",50,56,1.17880794214706,0.0704472488682385,1.04476362120326,1.06537488342597,1.1305581680113,1.17740489674993,1.22552834745907,1.29702699935321,1.32082529409373
"50",51,57,1.12994163410178,0.0674066666311456,1.00167587936721,1.02140022906283,1.08377557152896,1.12860153560313,1.1746469417447,1.24305431600356,1.26582271519696
"51",52,58,1.06312263477857,0.0644612781790736,0.940522578778051,0.959361375324917,1.01896331201945,1.06182007263805,1.10586212252513,1.17132713166532,1.19312469966822
"52",53,59,1.12168745639153,0.0659816150818549,0.996080342544867,1.01540829018738,1.07650655715818,1.12039396485234,1.16545840064989,1.23237891387806,1.25464505419502
"53",54,60,1.04024296889962,0.062615268613727,0.921127166369053,0.939436829215702,0.997352861513306,1.03898690691237,1.08176392622417,1.14533372574192,1.16649654089642
"54",55,61,1.02529580801965,0.0620537252143399,0.907268048735937,0.92540582678226,0.982786933584724,1.02404419269299,1.06644038068819,1.12945523906649,1.15043606433288
"55",56,62,1.00776295697184,0.0615589202480585,0.890709791449213,0.908689960541634,0.965587276959366,1.00650979799154,1.04857265479302,1.11111067036404,1.13193738540449
"56",57,63,1.01605198291851,0.0619497827568085,0.898248788986661,0.916345763281514,0.97360968498673,1.01479321235069,1.05712218140417,1.12005206119184,1.1410083297017
"57",58,64,1.04985191571503,0.0629659336047205,0.930055819600109,0.948473148140907,1.00672388832494,1.04859336915345,1.09160808392744,1.15552377512522,1.17679990264295
"58",59,65,1.06595981379345,0.0630315251522282,0.945987442345245,0.964443941771021,1.02279574788425,1.06471769413765,1.10776992319678,1.17171274079073,1.19299073655458
"59",60,66,1.05728329505148,0.062193135003028,0.938888190913525,0.957106381777312,1.01469655688067,1.05606407218428,1.09854103392454,1.16161915816427,1.18260683888429
"60",61,67,1.07071552756805,0.0621292164114718,0.952394205384877,0.97061227655093,1.02818084357931,1.0695140667048,1.11194057063199,1.17491713761481,1.19586436192628
"61",62,68,1.11101812343625,0.0626983799555995,0.991516390260011,1.00993884989721,1.06811050636261,1.1098389215211,1.15264035719739,1.21611982366721,1.23722089388893
"62",63,69,1.11010351530981,0.0616724175172118,0.992504967777267,1.01064630123616,1.06790709890926,1.10896164262494,1.15105523605066,1.21345581873572,1.23419097780944
"63",64,70,1.07967591078127,0.0598896439570023,0.96547185515123,0.983090698458715,1.03870013259616,1.07856875301143,1.11944483394792,1.18003779478114,1.20017160783794
