"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.65112523752392,0.497832990432116,0.824235769603259,0.92598214781724,1.29385321293203,1.60136968982395,1.95427671157169,2.54606802404674,2.76043463527509
"2",3,9,1.46174081032617,0.440731437145633,0.729695745894156,0.819771792191705,1.14544796538306,1.41769223486969,1.73012074375308,2.25403346277766,2.44381217664053
"3",4,10,1.35927495041198,0.40983681794959,0.678545157807282,0.762307007034909,1.06515376416024,1.3183141146767,1.60884184908743,2.0960290645921,2.27250457246113
"4",5,11,1.29276978928786,0.389784757397695,0.645346020990784,0.725009659420625,1.01303905205879,1.25381304182003,1.53012614380326,1.99347678065625,2.16131788230619
"5",6,12,1.35942904145861,0.392433361515163,0.702436823045198,0.784414631683228,1.07832474825899,1.32185931137789,1.59965997953723,2.06265197045417,2.22969456250746
"6",7,13,1.06115990279742,0.335568225448273,0.508867420266373,0.575722298216196,0.819840125337181,1.0260052260726,1.26424956861347,1.66657459319045,1.8129708369821
"7",8,14,1.20375226095576,0.362944962739294,0.600908791575637,0.675086952042017,0.943283219840705,1.16747799678865,1.42476473414909,1.8562099778025,2.01249387866912
"8",9,15,1.17869384134604,0.355389564949775,0.588399718791413,0.661033718111738,0.923646964524512,1.14317469578765,1.39510551463071,1.81756939533698,1.97059994608067
"9",10,16,1.15435074094008,0.34804984401518,0.576247730776421,0.647381648670748,0.904571246973116,1.11956515832766,1.36629294903624,1.78003184934033,1.92990192029591
"10",11,17,1.65793054445527,0.414482636113818,0.947650556913599,1.0399324505793,1.36282443251076,1.62352118499355,1.91558238710709,2.39333980741136,2.56359778397157
"11",12,18,1.5679543180465,0.369570376960471,0.929269100627325,1.01344766628084,1.30545433239926,1.53901566689416,1.79894950907057,2.22120155084857,2.37097748924353
"12",13,19,1.35332535257728,0.318981844653024,0.802066373217099,0.874722180679928,1.12675760022709,1.32834796017299,1.55270083484629,1.91715303012942,2.04642693326741
"13",14,20,1.60592417239501,0.334858337827039,1.01801816752013,1.09757918379568,1.36921478996774,1.58271083019419,1.81735434902758,2.19346969915399,2.32567595303515
"14",15,21,1.31836567814502,0.281076506999168,0.826212751528371,0.892517895953176,1.11950612328516,1.29844514217606,1.49553291389754,1.81218011486213,1.9236591656511
"15",16,22,1.68128995812548,0.306960145257414,1.13435927452993,1.21019134767722,1.46535114490595,1.66264630965516,1.87692096568021,2.21599465227428,2.33412573843654
"16",17,23,1.4560196024734,0.26150884045914,0.989294678466094,1.05418222976514,1.27215995901668,1.44039375921244,1.62285817849496,1.91116699006811,2.01150824281708
"17",18,24,1.13251761523032,0.217953116671739,0.746336244630131,0.799394229291072,0.978904725695808,1.11856701935608,1.27093601577773,1.51323682045694,1.59794142016213
"18",19,25,1.33734669074599,0.23641172845597,0.914744146469471,0.973649098562939,1.1712233501356,1.32344208873361,1.48832352685169,1.74848176643103,1.83893634977783
"19",20,26,1.35507980584623,0.229050292681527,0.943862734993544,1.00158358361733,1.19437372838659,1.34219636298233,1.50175084074944,1.75252907693314,1.83948568548038
"20",21,27,1.13319871617524,0.20032312415985,0.775107082988177,0.825020105954156,0.992434352223034,1.12141667247753,1.26112871221219,1.48157340701999,1.55821996279348
"21",22,28,1.18653423926273,0.203488943256702,0.821709453399342,0.872804697237097,1.04369294920327,1.17492204373154,1.31672562104592,1.5398800251047,1.61732536122003
"22",23,29,0.978086107336562,0.181626030468139,0.655039616556142,0.699701797222291,0.850240285336005,0.966867001246651,1.09371172888036,1.29474659687526,1.36486168988419
"23",24,30,1.28927716576041,0.211955860406932,0.907770106408862,0.961543451754649,1.14070175163247,1.27768084291661,1.42521923980798,1.65657248464412,1.73666242241408
"24",25,31,1.42158327653109,0.214311742568076,1.0329245849823,1.08837117546192,1.27177112111257,1.41082833131021,1.55967750417105,1.7914857524253,1.87134372281632
"25",26,32,1.1452226402586,0.181075598560441,0.818163844361092,0.86452110411769,1.01845377438539,1.13569338612787,1.26160958089837,1.45843350203567,1.52641812330814
"26",27,33,1.17218635121221,0.180872280771885,0.844808817906917,0.891367640833182,1.04565781768542,1.162896525283,1.28859352307132,1.48469737585622,1.55234116466572
"27",28,34,1.21577503962092,0.181237042262659,0.886794656500123,0.933796693104648,1.08912727945225,1.20678125439795,1.33262360541041,1.52843550322762,1.59585188287262
"28",29,35,1.12864227610741,0.170149225108226,0.820073205620764,0.864094099165613,1.00970141990044,1.12010356715247,1.23827987945709,1.422320162745,1.48572206325651
"29",30,36,1.12778787177668,0.168120689699498,0.822616212510036,0.866216652644021,1.0103057692074,1.11944497809546,1.23617995998156,1.41782070461855,1.48035807612638
"30",31,37,0.979326333845517,0.154845089376714,0.699645090846417,0.739287064073825,0.870921134457095,0.971177482099083,1.07885352784031,1.2471656466585,1.30530205399813
"31",32,38,1.05502510710952,0.162793908321114,0.760369298514341,0.802274518698724,0.941143232014776,1.04666380893721,1.15979726115479,1.33630033003546,1.39718305184862
"32",33,39,1.17643683307106,0.17160094865372,0.864401535072984,0.909107429457906,1.0566022175703,1.16810391110651,1.28719209364857,1.47219369296617,1.53581459940998
"33",34,40,1.16793790946734,0.166848272781048,0.864046895013395,0.907699807127365,1.05149514691673,1.160002433992,1.27573418597767,1.45524747234678,1.51691385214059
"34",35,41,1.04880952928564,0.154638528631772,0.767860392759315,0.808057255107558,0.940785053388229,1.04121932883291,1.14856399351175,1.3154555546554,1.37288119707038
"35",36,42,1.04768194712264,0.154472275711934,0.767034860898311,0.807188507330101,0.939773609064167,1.04009990694535,1.14732916465485,1.31404129956119,1.37140520328265
"36",37,43,1.13733715986814,0.160843763647642,0.844153561942685,0.886320765808236,1.02511860156072,1.12976396423234,1.24130389143129,1.41418906110912,1.47354764036455
"37",38,44,1.05431232677229,0.152176876417981,0.77736668110543,0.817097929715497,0.948075903726203,1.04699982129448,1.1525811321928,1.31647300962763,1.37280330703459
"38",39,45,0.981708785076071,0.146344505169255,0.716065124281653,0.754018126068493,0.879443797955955,0.974446522176488,1.07606116098506,1.2341745076528,1.28861159510621
"39",40,46,1.09010199651067,0.155728856644381,0.806463458115272,0.847207170827402,0.981419431361703,1.08269537190434,1.19071431099058,1.35826413558734,1.4158208286152
"40",41,47,1.04570119384931,0.150933966440203,0.771017511460994,0.810424253703935,0.940332460516109,1.03844841351657,1.14316738535346,1.30572067012864,1.36159088785499
"41",42,48,0.994830970308912,0.14667982430582,0.728341303411715,0.766469373815989,0.892366136444052,0.987631410931932,1.08945142108447,1.2477536571654,1.30222380257227
"42",43,49,1.02874280360991,0.15005756030208,0.755881517509393,0.794974876230044,0.923952648410552,1.02145602606004,1.1255934581271,1.28736930414298,1.34300301759307
"43",44,50,0.961694488535426,0.14498089915567,0.698768687596117,0.736278048709626,0.860347260722525,0.954418818010756,1.0551145925929,1.2119317966382,1.26595534296049
"44",45,51,1.24944424481547,0.166964010284856,0.943816755082725,0.988069235933756,1.13314693662652,1.24201499809764,1.35764616034401,1.53616340648887,1.59728193612422
"45",46,52,1.11546997485587,0.151796236766225,0.837975376231592,0.878070097288548,1.00968265611911,1.10859196512814,1.21376268303468,1.37633359418476,1.43204252122694
"46",47,53,1.00084231869011,0.141540478088849,0.74284445991652,0.779951066100362,0.902091406419317,0.9941780022961,1.09233172777296,1.24446849090092,1.2967032900374
"47",48,54,1.0555933699652,0.146384462363437,0.788367618542254,0.826892638965999,0.953521723704905,1.04883451128096,1.15030036357955,1.30735145416903,1.36121975231356
"48",49,55,1.12806166819032,0.150743581197173,0.852125661166929,0.892079046504061,1.02306255676455,1.12135416725086,1.2257518483156,1.38692627712467,1.44210718718439
"49",50,56,1.22531982972235,0.154375787902922,0.941569400852497,0.982922303376465,1.11796657102726,1.21884278963136,1.32561494846764,1.48981292146068,1.54587131346853
"50",51,57,1.25649983654211,0.151264804724251,0.977631872337039,1.01846565216732,1.15143770757228,1.25043502977846,1.35495282592345,1.51522315889569,1.56982724890531
"51",52,58,0.981857186285574,0.128924164708843,0.745565326421256,0.779846527874539,0.892100648774371,0.976220130609394,1.0654711293933,1.2030980506873,1.25017694118947
"52",53,59,1.02260050365305,0.133131245939032,0.778450883212542,0.813905830134771,0.929937148501427,1.01682893842852,1.10897464803575,1.25098421814276,1.29954238088219
"53",54,60,1.11873371953901,0.139841714942376,0.861561284304989,0.899072132798545,1.02150823533235,1.1129124073623,1.20961558409305,1.35825391712578,1.40898161915549
"54",55,61,1.03350492355681,0.1323267458075,0.790549374996004,0.825895525041091,0.941444017156215,1.02786287495608,1.11941767057986,1.26036147635043,1.30851708346525
"55",56,62,1.01459764874985,0.130983993223646,0.774244893013057,0.809180830974587,0.923450120075972,1.00896659613412,1.09960904036853,1.23922413654104,1.28694442764879
"56",57,63,1.12232023098867,0.138148070588665,0.86800238534034,0.905156678183234,1.02631194587124,1.11665706455148,1.21215716195445,1.35880285467372,1.4088151852997
"57",58,64,1.10163270048441,0.134585854902916,0.853750211460302,0.889992481587973,1.00811876033739,1.09615681477786,1.18917934082555,1.33195308732492,1.38062829222248
"58",59,65,1.26492972173779,0.142315712544891,1.00145677280871,1.04029102344649,1.16625418477634,1.25959648761785,1.35779309868322,1.50776173959692,1.55870612783681
"59",60,66,1.31809457906602,0.139717745945786,1.05853818095423,1.0970017139601,1.22136070305991,1.31316119575987,1.40945187081079,1.55601662423694,1.60568298915009
"60",61,67,1.24146189925528,0.129431350248698,1.00079350919742,1.03650920054449,1.15188487549844,1.23696675769885,1.32613990823284,1.46174878107841,1.50767228407801
"61",62,68,1.25350506507877,0.125981999202312,1.01878706280501,1.05372702487119,1.16638907706289,1.24928704496215,1.33602397426451,1.46767189244766,1.51219065583731
"62",63,69,1.2452062760627,0.121519689564556,1.01845536732331,1.05228969596355,1.1612315209456,1.24125547901949,1.32487513082122,1.45160003409584,1.4944065262688
"63",64,70,1.20232763502668,0.115694030622797,0.986292663114234,1.01856384518511,1.12240350124382,1.19861879030527,1.27820954241356,1.39874322427128,1.43943719041329
"64",65,71,1.30403172965883,0.117580581327622,1.08377786020406,1.11684101257234,1.22291716671101,1.3004994759901,1.38129642759258,1.50327177922803,1.54435703648704
